tf,target,mode,weight,confidence
NFKB1,AKT1,Repression,-1.0,A
HNF4A,CEACAM1,Activation,1.0,A
NFKB1,CD80,Activation,1.0,A
NFKB1,ATF3,Activation,1.0,A
NFKB1,IL18,Activation,1.0,A
NFKB1,EDN1,Activation,1.0,A
NFKB1,CYP27B1,Activation,1.0,A
NFKB1,CYP19A1,Repression,-1.0,A
NFKB1,CXCL2,Activation,1.0,A
NFKB1,CTSB,Activation,1.0,A
NFKB1,CSNK2A1,Activation,1.0,A
NFKB1,CD86,Activation,1.0,A
NFKB1,CD69,Activation,1.0,A
NFKB1,CD58,Activation,1.0,A
NFKB1,CCR7,Activation,1.0,A
NFKB1,CCND2,Activation,1.0,A
NFKB1,CCL5,Activation,1.0,A
NFKB1,CCL4,Activation,1.0,A
NFKB1,CCL3,Activation,1.0,A
NFKB1,CCL22,Activation,1.0,A
NFKB1,CD83,Activation,1.0,A
NFKB1,BST1,Activation,1.0,A
NFKB1,BIRC3,Activation,1.0,A
NFKB1,BIRC2,Activation,1.0,A
NFKB1,B2M,Activation,1.0,A
NFKB1,AMH,Activation,1.0,A
HNF4A,ABCG5,Repression,-1.0,A
HLF,RUNX1,Repression,-1.0,A
HIF1A,ZNF217,Activation,1.0,A
ERG,TMPRSS2,Activation,1.0,A
EPAS1,CA9,Activation,1.0,A
YY1,EP300,Activation,1.0,A
ELK1,PDGFB,Activation,1.0,A
ELK1,FUT4,Activation,1.0,A
ELK1,CITED2,Activation,1.0,A
ELK1,ERBB2,Activation,1.0,A
EGR1,UBE2S,Activation,1.0,A
EGR1,TOE1,Activation,1.0,A
ERG,FGF2,Repression,-1.0,A
EGR1,TFPI2,Activation,1.0,A
EGR1,PTP4A1,Activation,1.0,A
EGR1,PTGS2,Activation,1.0,A
EGR1,POR,Activation,1.0,A
EGR1,PLAUR,Activation,1.0,A
EGR1,PLAU,Activation,1.0,A
EGR1,PCSK2,Activation,1.0,A
EGR1,LMTK2,Activation,1.0,A
EGR1,IL2RB,Activation,1.0,A
EGR1,HYAL1,Activation,1.0,A
EGR1,TCF4,Activation,1.0,A
ESR1,BLM,Activation,1.0,A
ESR1,CEBPB,Activation,1.0,A
ESR1,JUNB,Activation,1.0,A
ETS1,CSNK2B,Activation,1.0,A
ETS1,CSF3R,Activation,1.0,A
ETS1,COL1A1,Activation,1.0,A
ETS1,CD8A,Activation,1.0,A
ETS1,EMSY,Activation,1.0,A
ESRRA,NR2F6,Repression,-1.0,A
ETS1,IL3,Repression,-1.0,A
ESR2,TFF1,Activation,1.0,A
ESR2,PTPRC,Activation,1.0,A
ESR2,MKNK2,Activation,1.0,A
ESR2,JUN,Activation,1.0,A
ESR2,FOS,Repression,-1.0,A
