run_dir,dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,mutual_information,3,760,760,0.5,0.5158907548476455,0.5257684640963436,1.3421052631578947,0.0008155512623488,0.0008478364907205,-3.228522837162018e-05,0.0317815096952909
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,coexpression_probability,3,760,760,0.5,0.5331267313019391,0.516639587611103,1.0,0.0149889816530048,0.0128684877417981,0.0021204939112067,0.0662534626038782
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,codetection_odds_ratio,3,760,760,0.5,0.5558093836565097,0.5499173980624188,1.368421052631579,1.3666179776191711,1.309697687625885,0.0569202899932861,0.1116187673130193
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,pearson,4,760,760,0.5,0.5349056440443214,0.5334327454720916,1.1842105263157894,0.0467859487980604,0.0427008438855409,0.0040851049125194,0.0698112880886425
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,spearman,4,760,760,0.5,0.5244156855955678,0.5315019953907452,1.2105263157894737,0.0383010562509298,0.03750423155725,0.0007968246936798,0.0488313711911356
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,mutual_information,4,760,760,0.5,0.5255098684210526,0.5287767297843395,1.2105263157894737,0.0008155512623488,0.0007266929605975,8.88583017513156e-05,0.0510197368421052
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,coexpression_probability,4,760,760,0.5,0.5353834833795014,0.5181635080753418,1.0263157894736843,0.0149889816530048,0.0129308551549911,0.0020581264980137,0.0707669667590027
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,codetection_odds_ratio,4,760,760,0.5,0.570637984764543,0.5528543318325405,1.2105263157894737,1.3666179776191711,1.2895548939704895,0.0770630836486816,0.1412759695290859
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,pearson,5,760,760,0.5,0.5319840720221607,0.5420515545844308,1.394736842105263,0.0467859487980604,0.0426825731992721,0.0041033755987882,0.0639681440443213
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,spearman,5,760,760,0.5,0.5200727146814405,0.5397913886191701,1.4210526315789471,0.0383010562509298,0.0366381164640188,0.001662939786911,0.0401454293628809
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,mutual_information,5,760,760,0.5,0.5206942520775624,0.5360771348906325,1.368421052631579,0.0008155512623488,0.0007075857138261,0.0001079655485227,0.0413885041551247
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,coexpression_probability,5,760,760,0.5,0.5357955332409972,0.5190203120327462,1.0,0.0149889816530048,0.01288927718997,0.0020997044630348,0.0715910664819945
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,codetection_odds_ratio,5,760,760,0.5,0.5613313711911359,0.558852710147403,1.394736842105263,1.3666179776191711,1.289699912071228,0.0769180655479431,0.1226627423822714
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,pearson,6,760,760,0.5,0.525850934903047,0.5305172549743029,1.236842105263158,0.0467859487980604,0.0442537367343902,0.0025322120636701,0.0517018698060942
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,spearman,6,760,760,0.5,0.5149835526315789,0.5281834676531677,1.263157894736842,0.0383010562509298,0.0395308211445808,-0.001229764893651,0.0299671052631578
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,mutual_information,6,760,760,0.5,0.5167460180055402,0.5262169169336091,1.2894736842105263,0.0008155512623488,0.0007932089501991,2.2342312149703503e-05,0.0334920360110804
