dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,2,405,405,0.5,0.5632647462277092,0.5655298358869102,1.2195121951219512,1.400678038597107,1.3292348384857178,0.07144320011138916,0.12652949245541834
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,pearson,3,405,405,0.5,0.5286145404663923,0.5506533751959382,1.3658536585365855,0.02376898005604744,0.02350032329559326,0.00026865676045417786,0.05722908093278467
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,spearman,3,405,405,0.5,0.5360829141899102,0.5578070727232654,1.3658536585365855,0.03176947310566902,0.031041176989674568,0.0007282961159944534,0.07216582837982011
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,mutual_information,3,405,405,0.5,0.521838134430727,0.5407949863062217,1.3658536585365855,0.0020384809467941523,0.0018196012824773788,0.00021887966431677341,0.04367626886145404
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,coexpression_probability,3,405,405,0.5,0.5172900472488949,0.5224340763777354,1.1219512195121952,0.01830863207578659,0.017000872641801834,0.0013077594339847565,0.03458009449778987
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,3,405,405,0.5,0.5590824569425392,0.5671988951465177,1.3170731707317074,1.400678038597107,1.3309565782546997,0.06972146034240723,0.11816491388507844
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,pearson,4,405,405,0.5,0.55369608291419,0.5618197017143165,1.3658536585365855,0.02376898005604744,0.01995023526251316,0.003818744793534279,0.10739216582837985
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,spearman,4,405,405,0.5,0.5526169791190368,0.5607273374488818,1.3658536585365855,0.03176947310566902,0.02924179658293724,0.002527676522731781,0.10523395823807347
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,mutual_information,4,405,405,0.5,0.522527053802774,0.533779287638726,1.2682926829268293,0.0020384809467941523,0.0018071236554533243,0.00023135729134082794,0.045054107605547955
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,coexpression_probability,4,405,405,0.5,0.515098308184728,0.5204737871638482,0.975609756097561,0.01830863207578659,0.017436791211366653,0.0008718408644199371,0.03019661636945581
