run_dir,dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,1,140,140,0,0,0.0,0,0,0.0069245224322569,-0.0015816896513033
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,2,140,140,0,0,0.0,0,0,0.0080146705064917,-0.0011384460868785
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,3,140,140,0,0,0.0,0,0,0.0053367575152944,-0.0002727643354133
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,4,140,140,0,0,0.0,0,0,0.0080770417504118,-0.0028644592597822
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,5,140,140,0,0,0.0,0,0,0.0016446135146398,-0.0004723828942363
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,6,140,140,0,0,0.0,0,0,0.0080755468386113,0.0007089568020366
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,7,140,140,0,0,0.0,0,0,0.0085466797644244,0.0002198312037773
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,8,140,140,0,0,0.0,0,0,0.0158002255017573,-0.0051898079814005
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,9,140,140,0,0,0.0,0,0,0.0112807260504885,0.0006035011154419
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_union,0,646,646,0,0,0.0,0,0,0.0045277344214999,-0.0032464857863372
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_union,1,646,646,0,0,0.0,0,0,0.0036359607723756,-0.0015714053461614
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_union,2,646,646,0,0,0.0,0,0,0.0047192090958814,-0.0024211223382447
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_union,3,646,646,0,0,0.0,0,0,0.0038521580248251,-0.0023919980591522
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_union,4,646,646,0,0,0.0,0,0,0.0054703535345577,-0.0015376450137576
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_union,5,646,646,0,0,0.0,0,0,0.0045066917544372,-0.0026813206857507
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_union,6,646,646,0,0,0.0,0,0,0.0038082884003782,-0.0020169379770411
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_union,7,646,646,0,0,0.0,0,0,0.0043108812475056,-0.0030277002502032
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_union,8,646,646,0,0,0.0,0,0,0.0048304704078565,-0.0025528189410633
