result_source,dataset,condition,edge_set,metric,top_level,repeats,mean_actual_top_n,mean_curated_positive_fraction,sd_curated_positive_fraction,mean_delta_vs_0_5,repeats_above_0_5,trrust_union_known_fraction_mean,analysis_group,source_group,ci95_curated_positive_fraction,min_curated_positive_fraction,max_curated_positive_fraction,complete_threshold_repeats,mean_total_pairs_ranked,mean_positive_pairs_in_evaluation,mean_negative_pairs_in_evaluation,all_repeats_above_0_5,context_level,context_label,fixed_top100_valid,strict_top500_valid
server_nygc,NYGC_multimodal_PBMC,all,trrust,spearman,top_100,10,100.0,0.641,0.0233095116493961,0.141,10.0,0.641,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,spearman,top_500,10,500.0,0.521,0.0076739096221475,0.021,10.0,0.521,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,spearman,top_5pct,10,255.0,0.5305882352941176,0.0052450725876441,0.0305882352941176,10.0,0.5305882352941176,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,codetection_odds_ratio,top_100,10,100.0,0.5700000000000001,0.0249443825784929,0.0699999999999999,10.0,0.5700000000000001,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,codetection_odds_ratio,top_500,10,500.0,0.5266,0.0084353752468728,0.0266,10.0,0.5266,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,codetection_odds_ratio,top_5pct,10,105.0,0.5714285714285714,0.0245903704521105,0.0714285714285714,10.0,0.5714285714285714,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,coexpression_probability,top_100,10,100.0,0.481,0.0099442892601175,-0.019,0.0,0.481,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,coexpression_probability,top_500,10,500.0,0.5008,0.0051811624607267,0.0008,5.0,0.5008,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,coexpression_probability,top_5pct,10,105.0,0.4847619047619047,0.015191728398737,-0.0152380952380952,1.0,0.4847619047619047,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,mutual_information,top_100,10,100.0,0.552,0.0113529242439509,0.052,10.0,0.552,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
